price,address,property_type,bedrooms,bathrooms,size_square_meters,latitude,longitude,borough,Price_per_square_meter
7000000.0,"Canons Close, N2",Detached,5.0,5.0,484.0,51.5755225,-0.1704292,Barnet,14462.809917355373
7000000.0,"Folly Farm, London, NW7",Detached,5.0,5.0,574.0,51.62354865,-0.2170366264446222,Barnet,12195.121951219511
7000000.0,"The Bishops Avenue, N2",Detached,7.0,8.0,700.0,51.5837632,-0.1678467,Barnet,10000.0
6950000.0,"Winnington Close, N2",Detached,6.0,4.0,387.0,51.579245,-0.1733969,Barnet,17958.656330749352
6950000.0,"Winnington Close, Hampstead Garden Suburb, London",Detached,6.0,4.0,435.0,51.579245,-0.1733969,Barnet,15977.011494252874
6950000.0,"Winnington Close, Hampstead Garden Suburb",Detached,6.0,4.0,435.0,51.579245,-0.1733969,Barnet,15977.011494252874
6950000.0,"Winnington Close, Hampstead, N2",Detached,6.0,4.0,373.0,51.579245,-0.1733969,Barnet,18632.707774798928
6950000.0,"Winnington Close, Hampstead Garden Suburb, London, N2",Detached,6.0,4.0,435.0,51.579245,-0.1733969,Barnet,15977.011494252874
5950000.0,"Uphill Road, Mill Hill",Detached,6.0,5.0,867.0,51.619633,-0.2479377,Barnet,6862.745098039216
5900000.0,"Brampton Grove, London, NW4",Detached,9.0,5.0,743.0,51.587304,-0.2255963,Barnet,7940.78061911171
5250000.0,"Neville Drive, N2",Detached,7.0,4.0,397.0,51.5787962,-0.1764766,Barnet,13224.181360201512
4500000.0,"Beechwood Avenue, Finchley N3, N3",Detached,8.0,7.0,309.0,51.591333,-0.1959244,Barnet,14563.106796116504
4350000.0,"Camlet Way, Hadley Wood, EN4",Detached,7.0,6.0,762.0,51.6659552,-0.1759686,Barnet,5708.6614173228345
4250000.0,"Ranulf Road, Cricklewood, NW2",Semi-Detached,6.0,3.0,358.0,51.5580462,-0.1992962,Barnet,11871.508379888268
3250000.0,"Hodford Road, Golders Green, NW11",House,6.0,5.0,384.0,51.5711729,-0.1971293,Barnet,8463.541666666666
3250000.0,"Camlet Way, Hadley Wood, North London, EN4",Detached,6.0,6.0,504.0,51.6659552,-0.1759686,Barnet,6448.412698412699
3195000.0,"Principal Place, London EC2A 2FD, EC2A",Apartment,3.0,2.0,127.0,51.52198,-0.079624220383766,Barnet,25157.48031496063
3089000.0,"Principal Place, London EC2A 2FD, EC2A",Apartment,3.0,2.0,136.0,51.52198,-0.079624220383766,Barnet,22713.235294117647
3000000.0,"Greenbrook Avenue, Hadley Wood",Detached,6.0,5.0,519.0,51.6632046,-0.1721652,Barnet,5780.346820809248
3000000.0,"Corringham Road, Hampstead Garden Suburb, London",Terraced,6.0,3.0,266.0,51.5749139,-0.1914755,Barnet,11278.195488721803
3000000.0,"Corringham Road, London",Terraced,6.0,3.0,267.0,51.5749139,-0.1914755,Barnet,11235.955056179777
3000000.0,"Wise Lane, Mill Hill, NW7",Detached,7.0,6.0,478.0,51.6095698,-0.2282951139703457,Barnet,6276.150627615063
3000000.0,"Hendon Avenue, Finchley, N3",Detached,7.0,4.0,342.0,51.5995395,-0.2038884,Barnet,8771.929824561403
2750000.0,"Arden Road, Finchley, N3",Detached,6.0,4.0,387.0,51.5946162,-0.2027272,Barnet,7105.94315245478
2500000.0,"Bancroft Avenue, N2",Semi-Detached,5.0,3.0,233.0,51.5836317,-0.1635952,Barnet,10729.61373390558
2500000.0,"Downage, Hendon",Detached,6.0,4.0,422.0,51.5974632,-0.2213123,Barnet,5924.1706161137445
2500000.0,"Arkley Lane, Arkley",Detached,5.0,4.0,399.0,51.6530005,-0.2302994,Barnet,6265.664160401003
2500000.0,"Chessington Avenue, N3",Detached,5.0,5.0,283.0,51.5916015,-0.2034151,Barnet,8833.922261484098
2500000.0,"Holly Park Gardens, Finchley, London, N3",Detached,6.0,4.0,333.0,51.5936238,-0.19608,Barnet,7507.507507507507
2400000.0,"Totteridge Village, London, N20",Detached,5.0,4.0,370.0,51.6316504,-0.1997836,Barnet,6486.486486486487
2250000.0,"Finchley Road, Temple Fortune, London, NW11",Semi-Detached,4.0,2.0,345.0,51.5896295,-0.1995483,Barnet,6521.739130434783
2200000.0,"Quinta Drive, Arkley",Detached,6.0,4.0,369.0,51.6480411,-0.2250658,Barnet,5962.059620596206
2175000.0,"Woodstock Road, Golders Green, London, NW11",Semi-Detached,6.0,3.0,267.0,51.5715932,-0.1983832,Barnet,8146.067415730337
2050000.0,"Elder Close, Totteridge",Detached,5.0,3.0,206.0,51.6306064,-0.1841517,Barnet,9951.456310679612
2000000.0,"Cornforth Lane, London",House,5.0,5.0,290.0,51.6186898,-0.2191084,Barnet,6896.551724137931
2000000.0,"Basing Hill, Golders Green, London, NW11",Semi-Detached,6.0,3.0,234.0,51.5712866,-0.2004351,Barnet,8547.008547008547
2000000.0,"Mill Hill, London, NW7",Detached,4.0,2.0,283.0,51.6154423,-0.2330675,Barnet,7067.137809187279
1980000.0,"Northumberland Road, Barnet, Hertfordshire, EN5",Detached,5.0,5.0,253.0,51.6392503,-0.1751436,Barnet,7826.086956521739
1950000.0,"The Bishops Avenue, Hampstead Garden Suburb, East Finchley, Highgate North London N2",Apartment,3.0,2.0,151.0,51.583837,-0.1676059,Barnet,12913.907284768213
1950000.0,"The Bishops Avenue, Hampstead Garden Suburb, East Finchley, Highgate North London N2",Apartment,3.0,2.0,148.0,51.583837,-0.1676059,Barnet,13175.675675675677
1950000.0,"The Bishops Avenue, Hampstead Garden Suburb, East Finchley, Highgate North London N2",Apartment,3.0,2.0,154.0,51.583837,-0.1676059,Barnet,12662.337662337664
1900000.0,"Rathgar Close, Finchley, London",Detached,5.0,3.0,294.0,51.5995039,-0.1993798,Barnet,6462.585034013606
1895000.0,"Hendon Avenue, Finchley, N3",Detached,5.0,3.0,231.0,51.5995395,-0.2038884,Barnet,8203.463203463203
575000.0,"Edgware, Middlesex, HA8",Flat,3.0,2.0,94.0,51.5960416,-0.2413129,Barnet,6117.021276595745
1850000.0,"Wickliffe Avenue, Finchley, London",Detached,5.0,3.0,216.0,51.5956488,-0.2071749,Barnet,8564.814814814816
